thetas version times mems
100 0.2.4 1416.62 15392
100 0.2.4 1568.09 15808
100 0.2.4 1433.08 15296
100 0.2.4 1574.96 16032
100 0.2.4 1574.06 16272
100 0.2.4 1471.6 15728
100 0.2.4 1536.19 16176
100 0.2.4 1567.6 16112
100 0.2.4 1527.12 15616
100 0.2.4 1584.85 16384
100 0.2.4 1447 16016
100 0.2.4 1516.23 16000
100 0.2.4 1523.78 16288
100 0.2.4 1640.33 16192
100 0.2.4 1462.77 16128
100 0.2.4 1631.83 16784
100 0.2.4 1624.03 16640
100 0.2.4 1533.07 15856
100 0.2.4 1634.59 16112
100 0.2.4 1630.08 16304
100 0.2.4 1603.71 16992
100 0.2.4 1420.68 15696
100 0.2.4 1562.38 16416
100 0.2.4 1593.81 16576
100 0.2.4 1610.18 16016
100 0.2.4 1582.5 16288
100 0.2.4 1503.28 15728
100 0.2.4 1589.75 15808
100 0.2.4 1463.95 15392
100 0.2.4 1481.54 15632
100 0.2.4 1342.39 15056
100 0.2.4 1358.56 17008
100 0.2.4 1534.51 16128
100 0.2.4 1199.67 16080
100 0.2.4 1571.27 16144
100 0.2.4 1574.69 15792
100 0.2.4 1483.01 16512
100 0.2.4 1536.18 15968
100 0.2.4 1472.84 16800
100 0.2.4 1576.25 16000
100 0.2.4 1469.84 16304
100 0.2.4 1558.88 16304
100 0.2.4 1589.62 16176
100 0.2.4 1238.16 16144
100 0.2.4 1411.6 15616
100 0.2.4 1675.44 16224
100 0.2.4 1576.42 15968
100 0.2.4 1460.71 15600
100 0.2.4 1526.14 16464
100 0.2.4 1538.11 16096
100 0.2.4 1300.26 15728
100 0.2.4 1523.44 15504
100 0.2.4 1447.28 15296
100 0.2.4 1408.75 15520
100 0.2.4 1563.01 16032
100 0.2.4 1581.21 16064
100 0.2.4 1301.85 15664
100 0.2.4 1540.56 15680
100 0.2.4 1466.34 15872
100 0.2.4 1507.53 15584
100 0.2.4 1623.64 16992
100 0.2.4 1471.99 16064
100 0.2.4 1664.09 16480
100 0.2.4 1659.83 16480
100 0.2.4 1532.06 16064
100 0.2.4 1599.87 16208
100 0.2.4 1626.57 15584
100 0.2.4 1521.29 16464
100 0.2.4 1614.68 16272
100 0.2.4 1632.41 16608
100 0.2.4 1518.78 15872
100 0.2.4 1593.03 16368
100 0.2.4 1514.02 15088
100 0.2.4 1673.54 17040
100 0.2.4 1560.48 15520
100 0.2.4 1524.15 16320
100 0.2.4 1551.24 15664
100 0.2.4 1486.74 15664
100 0.2.4 1708.36 16848
100 0.2.4 1527.29 16240
100 0.2.4 1503.53 15392
100 0.2.4 1535.86 16480
100 0.2.4 1515.56 16048
100 0.2.4 1669.73 17088
100 0.2.4 1447.97 16192
100 0.2.4 1495.31 15968
100 0.2.4 1616.83 16112
100 0.2.4 1482.53 15600
100 0.2.4 1460.06 16208
100 0.2.4 1531.43 16288
100 0.2.4 1366.19 15808
100 0.2.4 1519.8 15744
100 0.2.4 1685.13 16720
100 0.2.4 1297.92 16368
100 0.2.4 1240.96 15264
250 0.2.5 1273.63 33920
250 0.2.5 1311.95 33616
250 0.2.5 1365.45 38736
250 0.2.5 1329.53 34832
250 0.2.5 1332.36 36368
250 0.2.5 1359.48 35264
250 0.2.5 1342.04 35392
250 0.2.5 1348.73 35360
250 0.2.5 1330.35 33728
250 0.2.5 1390.22 40528
250 0.2.5 1343.74 36736
250 0.2.5 1345.92 35360
250 0.2.5 1362.12 37648
250 0.2.5 1358.12 35808
250 0.2.5 1388.39 37504
250 0.2.5 1399.92 36048
250 0.2.5 1357.22 37136
250 0.2.5 1360.16 35584
250 0.2.5 1298.02 32656
250 0.2.5 1305.05 33072
250 0.2.5 1435.2 34848
250 0.2.5 1354.61 37456
250 0.2.5 1522.61 36416
250 0.2.5 1386.93 34576
250 0.2.5 1515.58 36352
250 0.2.5 1375.07 39056
250 0.2.5 1436.4 30960
250 0.2.5 1379.56 34576
250 0.2.5 1511.02 35008
250 0.2.5 1291.77 33584
250 0.2.5 1515.05 35072
250 0.2.5 1287.34 34800
250 0.2.5 1571.8 38064
250 0.2.5 1293.41 34208
250 0.2.5 1584.29 38224
250 0.2.5 1300.53 33088
250 0.2.5 1482.82 37728
250 0.2.5 1330.68 32448
250 0.2.5 1501.23 36224
250 0.2.5 1326.56 34480
250 0.2.5 1511.5 34960
250 0.2.5 1377.36 38272
250 0.2.5 1387.26 33088
250 0.2.5 1311.84 34368
250 0.2.5 1508.66 35936
250 0.2.5 1341.21 34832
250 0.2.5 1462.45 37424
